Target_X,Target_Y,Target_Z,Pixel_U,Pixel_V,3D_X,3D_Y,3D_Z
,-500.0,1300.0,408,51,-12.0,-467.5,1287.0
-200.0,0.0,900.0,222,320,-245.19,21.65,884.0
-200.0,0.0,900.0,222,320,-245.74,21.7,886.0
-200.0,0.0,900.0,222,320,-245.47,21.67,885.0
-200.0,-100.0,900.0,220,241,-248.02,-79.11,885.0
-200.0,-100.0,900.0,220,241,-248.58,-79.29,887.0
-200.0,-100.0,900.0,220,241,-248.3,-79.2,886.0
-200.0,-200.0,900.0,220,162,-249.14,-180.7,889.0
-200.0,-200.0,900.0,220,162,-249.42,-180.9,890.0
-200.0,-200.0,900.0,220,162,-249.42,-180.9,890.0
-200.0,-300.0,900.0,219,84,-250.7,-280.97,890.0
-200.0,-300.0,900.0,219,84,-250.98,-281.29,891.0
-200.0,-300.0,900.0,219,84,-250.98,-281.29,891.0
-200.0,-400.0,900.0,221,8,-248.97,-379.75,893.0
-200.0,-400.0,900.0,221,8,-249.25,-380.18,894.0
-200.0,-400.0,900.0,221,8,-249.25,-380.18,894.0
-300.0,0.0,900.0,142,319,-344.34,20.21,877.0
-300.0,0.0,900.0,142,319,-344.74,20.24,878.0
-300.0,0.0,900.0,142,319,-344.74,20.24,878.0
-300.0,-100.0,900.0,143,239,-345.43,-81.47,883.0
-300.0,-100.0,900.0,143,239,-345.43,-81.47,883.0
-300.0,-100.0,900.0,143,239,-345.82,-81.57,884.0
-300.0,-200.0,900.0,144,160,-343.77,-181.82,882.0
-300.0,-200.0,900.0,144,160,-343.77,-181.82,882.0
-300.0,-200.0,900.0,144,160,-344.16,-182.03,883.0
-300.0,-300.0,900.0,145,83,-343.27,-280.35,884.0
-300.0,-300.0,900.0,145,83,-343.27,-280.35,884.0
-300.0,-300.0,900.0,145,83,-343.27,-280.35,884.0
0.0,0.0,1100.0,383,320,-49.5,26.72,1091.0
0.0,0.0,1100.0,383,320,-49.5,26.72,1091.0
0.0,0.0,1100.0,383,320,-49.5,26.72,1091.0
0.0,-100.0,1100.0,381,255,-52.45,-75.23,1087.0
0.0,-100.0,1100.0,381,255,-52.4,-75.16,1086.0
0.0,-100.0,1100.0,381,255,-52.4,-75.16,1086.0
0.0,-200.0,1100.0,382,192,-51.07,-174.58,1091.0
0.0,-200.0,1100.0,382,192,-51.07,-174.58,1091.0
0.0,-200.0,1100.0,382,192,-51.07,-174.58,1091.0
0.0,-300.0,1100.0,381,130,-52.74,-272.58,1093.0
0.0,-300.0,1100.0,381,130,-52.69,-272.33,1092.0
0.0,-300.0,1100.0,381,130,-52.69,-272.33,1092.0
0.0,-400.0,1100.0,382,67,-51.16,-371.84,1093.0
0.0,-400.0,1100.0,382,67,-51.16,-371.84,1093.0
0.0,-400.0,1100.0,382,67,-51.16,-371.84,1093.0
-200.0,0.0,1100.0,255,319,-247.28,24.8,1076.0
-200.0,0.0,1100.0,255,319,-247.51,24.82,1077.0
-200.0,0.0,1100.0,255,319,-247.51,24.82,1077.0
-200.0,-100.0,1100.0,254,255,-249.75,-74.74,1080.0
-200.0,-100.0,1100.0,254,255,-249.98,-74.81,1081.0
-200.0,-100.0,1100.0,254,255,-249.75,-74.74,1080.0
-200.0,-200.0,1100.0,255,191,-248.43,-174.54,1081.0
-200.0,-200.0,1100.0,255,191,-248.43,-174.54,1081.0
-200.0,-200.0,1100.0,255,191,-248.43,-174.54,1081.0
-200.0,-300.0,1100.0,255,127,-248.89,-274.77,1083.0
-200.0,-300.0,1100.0,255,127,-248.89,-274.77,1083.0
-200.0,-300.0,1100.0,255,127,-248.89,-274.77,1083.0
-200.0,-400.0,1100.0,254,65,-250.21,-371.22,1082.0
-200.0,-400.0,1100.0,254,65,-250.45,-371.56,1083.0
-200.0,-400.0,1100.0,254,65,-250.21,-371.22,1082.0
